Topic,Category,Status,Priority,Difficulty,Resources,Notes
Basics,,Completed,,,,
Scope & Closure,,Completed,,,,
Functions,,Completed,,,,
Mutable vs Immutable,,Completed,,,,
Call Stack & Recursion,,Completed,,,,
Operators,,Completed,,,,
Loops,,Completed,,,,
Iterators & Generators,,Completed,,,,
"Lambda Functions ",,Completed,,,,
Iterable vs Iterator vs Generator,,Completed,,,,
Conditional Statements (if / elif / else),,Completed,,,,
Exception handling,,Completed,,,,
Higher Order Functions,,Completed,,,,
Lists,,Completed,,,,
Advanced List,,Completed,,,,
Tuple,,Completed,,,,
Set,,Completed,,,,
Collection Module,,Completed,,,,
Dictionary,,Completed,,,,
Decorators,,Completed,,,,
Context Manager,,Completed,,,,
